Year,Profit,Advertising
2006,231,154
2007,504,162
2008,-2100,153
2009,-1400,153
2010,-471,165
2011,-2000,186
2012,-1876,153
2013,"-1,830",166
2014,"2,882",92
2015,"7,610",110
2016,"2,676",116
