,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Profit,"4,370","$4,530.000",$659.000,"$10,540.000","1,009",854,593,"-$1,237","-8,922","-1,298","-6,203"
Advertising,277,225,225,200,$200,$200,$169,$176,$114,$121,$150
