Year,American Airlines,Delta Airlines,Southwest Airlines,United Airlines
2006,154,150,186,19
2007,162,121,191,31
2008,153,114,199,63
2009,153,176,204,44
2010,165,169,202,67
2011,186,200,237,142
2012,153,200,223,154
2013,166,200,208,178
2014,92,225,207,179
2015,110,225,218,201
2016,116,277,232,220
