,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Profit,"2,676","7,610","2,882","-1,830","-1,876","-2,000",-471,"-1,400","-2,100",504,231
Advertising,116,110,92,166,$153,$186,$165,$153,$153,$162,$154
