Year,Profit (tens of millions),Advertising (millions) 
2006,23,154
2007,50,162
2008,-210,153
2009,-140,153
2010,-47,165
2011,-200,186
2012,-188,153
2013,-183,166
2014,288,92
2015,761,110
2016,268,116
